Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Family_Income,Teacher_Quality,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Exam_Score,Tutoring_Sessions_Group
27,82,1,1,1,9,67,0,1,0,2,1,2,0,0,1,68,1
24,70,1,2,0,8,55,1,1,0,2,2,4,0,2,1,68,4
13,71,1,1,1,10,99,1,1,0,1,1,3,0,2,2,64,0
18,62,0,2,1,6,91,2,0,0,1,1,1,0,0,1,63,4
27,72,0,0,1,7,79,1,1,2,2,2,2,0,2,1,68,2
21,90,2,0,1,9,89,0,1,0,0,1,2,0,0,0,67,1
34,62,2,0,0,8,89,0,1,0,1,1,4,0,1,1,68,3
22,69,1,2,1,6,83,1,1,0,1,2,2,0,1,1,66,1
21,88,1,1,1,8,59,0,0,1,1,0,1,0,2,2,67,2
18,91,2,1,0,8,86,2,1,1,1,1,4,1,0,1,69,1
21,78,2,1,1,4,78,1,1,2,1,0,3,0,0,0,68,2
19,88,1,2,0,6,86,1,1,1,1,2,3,1,1,1,70,4
24,76,1,1,0,7,77,1,1,1,1,0,4,0,2,1,68,3
26,66,0,1,1,9,98,1,1,0,1,1,2,0,1,2,66,2
15,76,1,2,1,8,81,1,1,0,1,1,4,0,2,1,67,2
12,83,1,1,0,6,79,1,1,2,0,1,4,0,0,1,65,1
9,98,1,1,0,6,92,1,1,1,1,1,5,0,0,1,67,0
23,63,1,1,0,8,69,2,1,1,0,0,4,1,0,2,63,2
13,80,0,2,1,4,66,2,1,0,1,0,2,0,0,1,64,2
7,73,2,1,1,6,75,1,1,0,1,1,3,0,1,2,64,3
22,80,0,0,0,9,79,2,1,1,1,1,3,0,1,1,66,0
35,61,1,2,1,7,61,0,1,1,1,2,4,1,0,2,68,2
20,73,2,1,1,6,84,2,1,1,1,2,3,0,0,1,67,0
25,93,1,2,0,5,90,0,1,1,1,2,2,0,1,2,72,1
20,82,1,1,1,8,79,0,1,0,1,2,4,0,0,2,67,1
19,78,1,1,0,7,76,2,1,1,0,1,3,0,1,1,66,2
26,71,2,0,0,7,65,1,1,0,1,2,3,0,1,2,66,1
18,72,2,2,1,8,95,1,1,1,1,0,4,0,0,1,67,1
22,75,1,1,0,7,88,0,1,0,1,1,3,0,2,0,65,0
22,93,2,1,0,7,74,0,1,1,2,0,3,0,1,0,70,2
16,99,0,1,1,5,83,0,1,0,2,1,4,0,2,2,69,0
26,78,2,2,1,5,67,0,1,2,2,0,3,0,0,1,69,1
19,76,2,1,1,8,53,1,1,1,1,0,4,0,1,2,66,1
15,94,1,0,0,8,60,1,1,1,1,1,4,0,0,0,66,2
23,77,2,2,1,8,54,1,1,0,1,0,3,0,1,1,67,1
15,82,1,2,1,6,75,1,1,1,0,2,3,0,0,2,67,1
20,69,1,1,1,8,81,2,1,1,1,2,4,0,0,2,67,2
20,90,2,2,1,6,69,1,1,2,2,1,3,0,0,2,72,2
27,81,1,0,1,9,77,0,1,1,2,1,4,0,1,1,68,1
23,92,1,0,1,6,54,2,1,1,1,2,2,1,2,2,70,3
20,91,1,1,1,6,88,1,1,0,1,2,4,0,0,1,69,1
25,69,2,0,1,7,52,2,1,0,1,2,4,0,0,1,65,1
28,89,2,2,0,8,82,1,1,1,1,0,3,0,2,0,72,0
23,92,1,2,0,7,72,1,1,0,1,1,4,0,1,0,69,0
20,74,1,1,1,7,59,0,1,2,1,2,4,0,0,2,68,5
12,67,2,2,0,6,76,2,1,0,1,0,2,0,0,1,62,1
14,60,1,0,1,7,89,0,1,1,1,1,3,0,0,1,60,2
18,78,2,1,1,7,71,0,1,1,1,1,4,0,0,1,67,3
16,74,2,2,1,6,68,0,1,1,1,1,4,0,1,2,67,2
19,82,1,2,1,7,57,1,1,1,1,1,3,0,0,2,67,1
20,68,1,1,1,7,80,0,1,0,1,1,4,0,0,2,63,0
23,94,1,0,1,10,91,2,1,1,1,1,3,0,0,2,71,1
20,70,1,1,1,6,78,2,1,1,1,2,2,0,1,2,66,0
23,69,1,1,1,6,58,2,1,1,1,1,1,0,2,2,65,0
20,79,2,1,1,7,83,2,1,1,1,2,2,0,0,1,69,2
8,80,2,0,0,6,52,2,1,1,1,2,1,0,0,2,63,2
14,69,1,1,1,5,92,2,1,0,0,0,2,0,2,1,64,3
19,71,2,2,0,5,96,2,1,0,1,1,0,1,1,2,67,2
13,67,1,1,1,6,80,2,1,0,2,0,2,0,0,1,62,1
24,89,1,0,1,6,94,0,1,1,1,1,2,0,0,0,68,2
29,91,1,2,0,5,54,0,1,0,1,1,3,0,2,1,71,2
27,78,2,1,0,7,61,1,0,0,1,0,3,0,0,1,66,1
19,89,1,2,1,4,66,0,1,0,1,2,1,0,2,2,69,1
29,89,1,0,1,8,89,0,1,1,2,1,4,0,0,1,71,1
21,66,1,1,1,6,74,1,1,1,2,1,4,0,0,2,66,2
18,99,1,1,0,6,67,1,1,0,1,2,3,0,2,2,72,5
16,93,1,1,1,8,58,1,1,2,2,2,4,0,1,2,70,1
18,68,0,1,0,8,91,2,1,0,2,1,3,0,2,2,65,1
18,67,2,1,0,6,51,1,1,1,2,2,2,0,1,2,64,0
21,65,1,1,1,8,67,1,1,0,1,2,2,0,1,1,63,1
21,66,1,1,0,9,62,0,0,1,1,2,2,0,0,2,63,3
20,90,0,1,0,5,56,1,0,1,1,2,2,0,0,1,66,3
23,79,2,2,1,8,59,0,1,0,2,0,4,0,1,1,68,1
27,91,1,2,1,5,75,0,1,2,2,1,4,0,1,2,74,1
26,90,2,2,0,9,71,0,1,2,0,0,2,0,1,2,71,0
11,84,2,1,1,6,76,2,1,0,2,0,3,0,0,1,67,3
5,87,2,0,0,6,86,1,1,1,2,2,3,0,2,2,66,2
26,61,2,1,1,9,95,1,1,1,1,0,6,0,1,2,67,0
12,72,0,2,1,8,56,2,1,0,1,2,1,1,0,1,62,3
19,86,1,0,0,6,54,0,1,2,2,2,5,0,2,2,68,1
13,60,1,1,1,7,66,1,1,0,1,2,3,0,2,2,62,2
9,61,2,1,1,6,77,0,0,2,1,1,2,0,0,2,82,1
23,94,2,1,0,5,55,2,1,1,1,2,2,1,0,2,70,2
25,87,2,1,0,7,86,1,1,1,0,0,2,0,1,2,72,4
17,71,0,2,1,6,78,0,1,1,1,2,4,0,1,2,64,0
4,88,1,2,0,6,87,0,1,1,2,1,4,0,1,2,66,1
17,92,1,1,1,9,68,2,1,1,0,2,3,0,1,2,68,0
22,72,0,1,0,6,70,0,1,2,1,1,3,0,2,0,64,1
11,61,0,1,1,7,90,2,1,1,2,1,3,0,0,2,61,0
21,97,1,1,1,9,63,1,1,1,1,2,1,0,0,1,69,0
20,74,2,2,0,7,69,0,1,2,2,1,2,0,1,2,68,2
23,64,1,1,0,6,51,1,1,1,1,2,5,0,1,2,64,1
21,80,1,2,0,7,78,1,1,0,2,0,4,0,0,1,67,1
14,91,1,1,1,8,93,1,1,1,1,1,3,0,0,1,67,0
27,69,1,1,0,8,51,1,1,2,1,0,2,0,0,2,65,1
19,71,2,1,1,10,81,1,1,1,2,2,3,0,0,2,68,2
20,70,1,2,1,6,92,1,1,1,0,2,3,0,0,2,67,2
14,100,0,1,0,7,75,0,1,0,1,2,3,0,2,1,67,1
17,68,1,2,1,5,66,1,1,2,1,0,4,0,0,2,64,1
15,83,2,2,1,8,100,1,1,1,1,2,3,0,1,2,70,0
19,97,1,2,0,7,53,1,1,0,0,1,3,0,1,1,69,2
30,66,1,2,0,7,61,0,1,2,2,2,2,0,0,0,66,0
12,99,0,1,0,6,94,1,1,1,1,1,3,0,2,1,69,2
10,98,0,1,1,6,65,1,1,0,2,2,2,0,0,2,66,1
29,95,2,1,1,7,91,0,1,0,1,1,3,0,0,1,73,1
19,69,1,1,1,6,67,1,0,2,2,2,4,0,2,1,66,4
16,85,1,2,1,7,91,2,1,1,1,1,2,0,2,1,69,0
26,90,1,0,1,7,84,0,1,1,1,2,3,0,0,1,70,1
16,99,2,1,1,5,73,2,1,1,1,2,5,1,1,0,71,1
31,67,0,2,1,5,76,1,1,1,2,2,4,0,1,2,70,2
24,91,2,0,1,6,59,1,1,0,1,1,4,0,0,2,69,0
17,74,1,1,0,9,56,1,1,1,2,0,3,0,0,1,63,1
33,67,2,1,1,6,86,1,1,1,2,2,3,1,0,2,71,4
16,77,2,2,0,7,92,0,1,1,1,0,2,0,1,2,67,2
24,92,1,1,1,5,86,2,1,1,2,1,2,0,0,2,73,3
22,79,0,2,1,6,96,1,1,2,1,1,2,0,1,1,68,1
28,82,0,1,1,5,95,1,1,2,0,1,3,0,0,2,69,0
29,100,2,2,1,8,89,1,1,1,1,1,3,0,0,1,76,2
20,76,0,1,1,5,95,1,1,0,2,2,3,0,0,2,68,4
15,85,1,1,0,8,58,2,1,0,1,0,3,0,1,2,65,1
23,75,1,1,1,8,87,0,1,2,0,2,1,0,0,2,66,0
16,76,1,0,0,7,88,2,1,0,1,2,2,0,2,2,65,0
32,88,0,1,0,8,58,0,1,0,2,0,3,0,0,1,69,3
21,98,2,1,1,10,95,1,1,1,1,1,1,0,0,2,71,0
18,82,2,0,1,8,50,1,1,2,1,2,3,0,0,1,66,1
21,91,1,2,0,5,72,1,1,0,1,0,3,1,0,2,69,3
12,64,1,1,0,9,51,0,0,0,1,1,4,0,1,2,59,2
14,68,1,2,0,7,76,1,1,2,1,2,3,0,0,2,65,2
27,80,2,2,0,10,71,2,1,0,0,1,2,0,1,2,72,4
16,61,1,0,1,6,81,1,1,1,1,0,2,0,1,2,60,0
14,70,1,1,1,9,88,0,1,2,1,2,4,0,1,1,64,0
23,81,1,1,0,7,88,0,1,0,1,2,4,0,2,2,69,1
27,61,2,2,1,10,86,1,1,1,2,2,3,0,0,2,70,3
24,71,1,2,1,7,55,0,1,2,1,2,3,0,1,0,67,2
26,81,1,1,0,10,71,0,1,1,1,2,5,1,0,2,67,0
15,83,1,0,1,8,91,1,1,0,1,1,3,0,1,0,64,0
11,97,1,1,1,8,83,0,1,1,2,0,2,0,0,0,68,4
29,86,1,2,0,10,84,0,1,0,2,2,4,0,0,2,72,1
18,77,1,2,1,6,61,1,1,0,1,1,3,0,0,2,65,1
18,97,1,2,0,8,66,0,1,1,1,1,2,0,1,1,70,2
28,91,2,1,0,7,98,0,1,0,1,2,5,0,2,2,75,2
23,68,0,0,1,7,92,1,0,0,2,1,4,0,0,2,65,3
23,65,1,2,1,7,58,0,1,0,1,1,3,1,1,1,63,1
33,87,1,2,0,8,77,0,1,0,1,2,3,1,0,2,71,0
16,82,1,0,1,8,75,1,1,1,1,2,2,0,1,2,66,2
26,92,1,0,1,6,72,1,1,0,1,1,3,0,0,1,69,1
20,90,2,1,0,7,74,0,0,2,0,2,3,0,2,1,68,0
22,85,1,2,0,4,82,1,1,1,2,2,2,0,2,2,71,1
29,99,2,1,1,8,98,2,0,0,0,1,2,0,2,2,77,5
23,81,2,0,1,10,94,2,1,1,2,1,2,0,1,2,70,1
23,65,1,1,0,7,94,1,1,2,1,0,3,0,1,2,66,1
26,93,2,1,0,5,85,0,1,2,2,2,3,0,1,1,73,1
18,70,1,1,1,8,51,1,1,0,1,0,3,0,1,1,62,1
15,91,1,1,0,6,72,0,1,1,1,1,2,0,0,1,65,0
14,98,2,2,1,7,76,1,1,0,1,1,2,0,2,2,71,0
8,88,1,1,1,8,92,2,1,0,1,0,4,0,1,2,66,1
32,84,0,1,1,8,96,1,1,0,1,2,3,0,0,2,72,1
13,78,1,1,1,9,73,1,1,1,2,0,4,0,0,2,64,0
19,75,1,1,0,7,65,0,1,0,0,1,4,0,0,2,63,0
18,74,0,1,1,7,67,0,1,0,1,2,3,0,0,2,63,0
22,85,2,1,0,8,79,2,1,1,2,1,2,0,0,2,72,5
25,90,1,1,1,7,64,1,1,1,2,2,2,0,0,1,71,2
25,87,2,2,1,6,96,0,0,1,1,2,2,0,0,1,72,3
17,68,1,2,1,8,71,1,1,1,2,1,2,0,0,2,65,1
19,80,1,1,1,5,100,1,1,1,1,1,3,0,0,2,67,0
22,92,0,2,1,7,55,0,1,0,1,2,4,0,0,1,68,1
19,79,1,2,1,5,59,1,1,0,1,1,2,0,2,0,66,2
30,81,1,2,0,6,76,1,1,2,1,2,3,0,2,2,72,0
23,91,2,1,0,6,93,1,1,0,0,1,3,0,0,1,71,3
24,86,1,2,0,6,68,0,1,0,2,2,3,1,1,1,70,3
24,76,1,1,0,9,92,1,1,1,0,1,3,0,2,2,68,1
27,96,1,2,0,9,71,0,1,0,1,2,4,0,1,2,72,0
21,67,0,1,1,9,93,2,1,0,2,1,3,0,1,2,66,1
12,100,1,1,0,7,64,1,1,1,2,2,6,0,0,2,69,1
22,65,0,1,1,6,74,2,1,1,1,2,1,0,1,2,65,2
16,61,2,2,0,8,64,1,1,0,2,2,3,0,0,0,62,1
17,96,2,2,0,7,61,0,1,0,2,2,1,0,1,1,69,1
24,70,1,1,1,7,71,1,1,1,0,0,4,0,0,2,65,1
27,89,1,0,0,4,67,1,1,0,0,1,4,0,1,2,69,2
20,92,0,2,1,8,89,1,1,0,1,1,3,0,0,1,69,1
22,94,2,1,1,8,87,1,1,0,1,1,5,0,1,2,73,2
30,100,2,1,1,7,68,0,1,1,1,1,2,0,2,2,75,2
21,72,2,2,1,8,100,1,1,0,2,2,3,0,1,0,70,3
36,88,1,2,0,8,99,2,1,0,1,0,3,0,1,2,74,0
23,65,1,1,1,6,96,1,1,0,0,2,3,0,0,2,65,0
9,76,1,1,0,7,79,1,1,1,1,0,3,0,1,2,63,1
25,94,2,2,0,5,71,0,1,1,2,0,4,0,1,2,74,4
22,75,2,2,1,9,66,0,1,0,1,1,2,0,2,2,67,0
28,84,1,1,1,8,51,1,0,1,1,2,4,0,2,2,71,3
24,80,2,0,1,6,82,1,1,0,2,1,3,0,1,1,68,1
19,86,2,1,0,8,78,1,1,1,1,0,4,0,1,2,69,2
13,99,1,2,0,7,81,1,1,1,1,2,4,0,2,2,71,0
19,62,2,1,1,6,79,0,1,1,1,1,2,0,0,2,66,6
15,83,1,1,1,7,57,0,1,1,1,2,3,0,2,2,65,0
17,95,1,0,1,8,85,0,0,0,2,0,2,0,1,1,66,1
24,79,0,0,1,8,68,2,1,0,1,0,2,0,0,2,65,2
30,63,1,1,0,10,76,1,1,1,1,1,4,0,2,1,67,1
22,82,2,1,0,7,68,2,1,0,1,1,4,0,2,2,70,2
13,73,1,1,1,7,51,1,1,0,1,2,4,0,2,2,63,1
23,66,0,0,0,8,94,0,1,1,2,1,3,0,2,1,64,1
27,94,1,1,1,7,57,1,1,1,1,1,1,0,0,2,71,1
16,81,1,2,1,6,79,1,1,0,2,2,3,0,1,1,68,2
19,97,1,0,0,6,94,1,1,2,1,1,4,0,2,2,72,2
20,92,1,2,1,4,61,1,1,2,1,1,4,0,1,2,71,2
15,88,0,0,1,8,71,1,0,0,0,2,2,0,2,1,64,1
24,60,2,0,1,5,69,1,1,1,2,1,5,0,0,1,64,1
19,77,2,1,1,6,54,0,1,2,1,0,2,0,1,1,66,3
23,68,1,2,1,7,71,2,1,1,1,2,3,0,0,1,68,3
15,96,2,1,0,7,74,1,1,0,0,2,2,0,0,0,68,2
17,67,2,1,1,10,51,1,1,0,1,2,5,0,0,2,65,3
24,71,1,1,1,5,74,1,1,1,1,2,3,0,0,2,67,1
18,81,1,0,1,10,55,0,1,0,1,0,2,0,0,2,64,3
30,71,2,1,1,9,95,2,0,1,1,1,4,0,1,2,70,1
18,68,1,2,1,8,83,0,1,0,1,2,2,0,1,2,65,1
21,84,1,0,0,9,53,0,1,1,2,0,3,0,0,1,65,2
26,64,2,1,0,8,91,2,1,1,1,2,4,0,0,2,68,1
11,62,1,2,1,4,68,1,1,2,1,0,3,0,0,1,61,2
9,75,2,0,0,8,61,2,1,1,1,1,3,0,0,2,63,3
11,89,1,1,1,5,63,1,1,1,1,1,2,0,1,2,65,0
28,82,1,1,1,6,80,1,1,0,1,1,5,0,0,0,69,1
17,77,1,1,0,7,54,0,1,0,2,2,2,0,1,2,64,1
35,83,1,0,0,6,53,1,1,0,1,1,2,0,0,2,69,1
17,75,2,1,1,8,81,0,1,2,1,1,3,1,2,2,67,3
21,97,1,2,1,7,99,2,1,1,2,1,1,0,2,1,74,1
29,62,2,1,1,8,74,1,1,0,1,0,3,1,1,2,66,1
32,87,1,2,1,7,71,1,1,2,0,1,4,1,1,2,72,0
32,96,1,0,1,7,97,0,1,0,1,1,5,0,1,1,73,1
27,92,2,1,0,6,62,2,1,1,2,2,4,0,1,2,73,0
26,67,0,1,1,5,62,2,1,1,1,0,2,0,0,1,63,0
24,72,2,1,1,7,95,1,1,0,1,0,2,0,2,2,69,3
25,89,0,0,1,6,82,2,1,0,1,1,6,0,2,2,71,2
17,63,2,1,0,9,53,2,1,0,2,1,4,0,1,1,63,1
15,92,1,2,1,5,84,1,1,2,0,2,5,0,0,1,69,0
20,89,2,2,1,10,91,0,1,1,1,1,3,0,1,1,72,3
19,89,2,0,1,7,64,1,1,0,1,2,4,1,2,1,68,2
17,64,0,2,0,7,69,1,1,1,1,0,3,0,0,2,62,1
24,89,0,2,1,6,60,1,1,0,1,1,2,0,0,2,68,1
26,87,1,1,1,8,82,2,1,0,1,0,2,0,2,2,71,1
21,93,1,0,1,7,83,0,0,2,2,1,3,1,0,1,67,1
29,62,0,2,1,7,53,2,1,0,1,2,3,0,1,1,65,0
13,61,0,1,1,8,84,2,0,1,2,1,3,1,2,0,60,1
19,75,1,2,1,8,83,2,1,2,1,1,2,0,0,2,68,2
16,66,0,1,1,9,52,1,1,1,0,0,3,1,0,2,59,1
9,82,2,1,0,8,78,1,1,2,1,1,0,0,0,1,64,0
20,97,2,1,1,6,81,2,1,0,0,1,3,0,0,1,71,2
19,76,2,2,0,4,72,0,1,2,1,1,2,0,1,1,68,2
29,94,0,1,1,7,95,1,0,0,1,1,3,1,1,1,70,2
24,60,0,0,0,7,66,1,1,1,2,1,4,0,1,2,62,1
14,67,1,1,0,10,53,1,1,2,1,1,3,0,1,2,62,2
31,61,2,1,0,7,84,1,1,1,1,1,3,0,0,2,68,2
27,73,1,1,0,8,80,0,1,1,1,0,3,0,0,2,68,3
23,96,1,1,1,8,99,2,1,0,0,2,4,0,0,2,74,3
19,64,0,1,0,8,62,1,1,2,1,2,4,1,1,2,61,0
14,84,1,1,1,8,70,1,1,0,2,1,5,0,1,2,67,1
18,78,1,0,0,6,73,1,1,2,2,2,2,0,0,1,65,1
31,65,1,0,1,7,71,1,1,0,1,1,4,0,0,1,65,1
29,68,1,1,0,4,89,1,1,1,1,1,4,1,1,2,67,0
17,61,1,2,1,7,58,0,1,0,1,2,3,1,0,2,61,2
13,77,1,1,0,6,70,1,1,1,2,1,4,1,0,2,64,3
21,71,2,0,0,7,58,2,1,1,2,2,3,1,1,0,64,1
9,95,1,1,1,7,97,1,1,0,0,1,2,0,1,2,67,1
22,84,1,1,1,5,59,1,1,2,2,2,3,0,1,2,69,0
19,85,2,1,1,9,71,0,1,1,2,2,2,0,2,1,69,1
17,81,2,1,0,7,54,1,1,0,1,2,3,0,0,2,67,4
10,64,1,2,0,8,96,1,1,1,1,1,3,0,0,1,62,1
23,78,0,2,0,7,81,1,1,0,1,1,1,0,0,2,66,0
17,100,2,1,0,8,98,0,1,1,2,2,4,0,1,2,72,0
13,93,1,1,1,5,52,0,1,1,1,2,3,0,1,2,67,2
3,96,2,2,1,9,59,1,1,0,1,0,3,0,1,1,66,2
20,93,0,0,1,8,69,1,1,0,1,1,4,0,0,1,67,2
31,64,2,0,1,7,81,0,1,1,1,2,4,0,0,2,67,1
30,69,1,1,1,7,66,1,1,1,0,2,4,0,2,2,68,0
17,60,2,1,1,9,86,1,1,0,2,2,2,0,0,2,63,0
16,72,1,2,0,6,58,0,1,1,1,0,2,0,0,0,62,1
23,64,2,1,1,5,80,0,1,1,2,0,2,1,1,1,65,3
14,79,1,1,1,6,70,1,1,0,1,2,6,0,1,1,65,1
22,87,1,2,1,7,75,1,1,1,2,2,2,1,1,2,70,0
25,95,0,1,0,7,78,1,1,0,1,2,4,0,0,2,73,6
27,90,2,1,1,9,53,1,1,1,2,2,2,0,2,2,73,1
19,98,1,0,1,6,96,1,0,0,1,0,2,0,0,1,68,2
19,62,1,0,0,6,89,2,1,1,1,2,1,0,0,1,63,3
15,60,1,0,1,5,72,2,1,2,2,2,2,0,0,2,62,2
15,86,2,1,1,8,77,1,1,1,1,2,3,0,2,2,69,0
19,72,1,2,0,5,52,1,1,1,1,1,3,0,2,2,66,2
22,70,1,2,1,8,75,2,1,1,1,2,3,0,2,2,68,0
25,73,2,1,1,6,71,0,1,0,1,2,3,0,1,0,67,0
15,71,2,2,1,6,69,0,1,0,2,0,4,0,1,2,65,2
29,80,0,1,1,10,91,2,0,2,1,2,3,0,1,1,70,1
18,78,0,1,1,9,59,2,0,2,2,2,1,0,0,1,64,0
20,80,0,0,1,7,59,2,1,1,2,1,3,0,0,1,65,2
16,87,1,1,0,5,76,2,1,0,2,1,2,0,2,0,67,1
5,75,1,0,1,10,84,1,1,2,1,1,4,0,2,1,62,0
25,70,1,1,1,7,51,2,1,0,1,2,4,0,0,1,66,3
24,67,2,2,1,7,77,0,1,2,1,2,2,0,1,2,68,0
18,74,1,0,0,8,65,2,1,1,2,2,4,0,1,1,64,0
20,90,2,0,0,4,88,1,1,0,1,0,3,0,0,1,69,3
23,90,1,1,1,6,73,0,0,2,1,2,2,0,0,2,69,1
11,87,1,1,1,7,92,1,1,1,1,2,5,0,0,1,67,1
17,69,1,1,1,7,70,0,1,0,2,1,3,1,1,1,61,0
25,84,2,1,1,5,91,0,1,1,1,2,4,1,2,1,70,1
12,83,0,1,1,7,86,0,1,2,1,0,4,0,1,2,65,1
22,79,1,1,1,7,91,0,1,0,1,2,4,1,1,1,66,0
12,82,0,1,1,10,91,1,1,0,1,0,3,0,2,2,66,3
23,80,1,2,1,9,74,1,1,1,1,0,3,0,0,1,69,4
20,83,1,1,1,7,68,2,1,1,1,2,1,0,0,2,67,1
10,89,2,2,1,7,88,1,1,2,1,2,2,0,2,2,71,2
27,64,2,2,1,9,68,2,1,0,2,1,4,0,0,2,68,1
16,90,1,1,0,7,54,2,0,1,1,2,3,0,0,2,67,2
15,65,2,1,0,5,93,0,1,0,1,1,4,1,0,2,63,2
21,63,1,1,0,10,70,0,1,2,2,2,2,0,1,2,64,1
27,99,2,1,1,6,57,1,1,0,1,1,3,0,1,1,73,3
14,98,1,1,1,10,82,2,1,0,1,2,3,0,0,1,69,1
20,62,2,0,0,8,94,2,1,1,1,2,3,0,0,2,65,1
23,78,2,0,1,6,93,1,1,1,2,2,5,0,2,2,70,0
24,67,2,1,1,4,78,0,1,0,2,2,2,0,0,2,67,1
21,79,1,0,1,8,54,2,1,0,1,2,3,0,2,1,67,3
18,93,1,2,1,5,85,1,1,0,1,2,3,0,0,2,70,0
15,98,2,0,0,8,80,0,0,2,2,0,2,0,2,2,69,2
21,85,2,1,0,10,61,2,1,1,1,1,2,1,0,2,68,2
14,74,1,2,0,5,95,2,1,0,2,2,3,1,1,2,66,1
2,84,0,2,0,8,54,0,1,0,0,2,4,0,0,2,62,3
23,72,1,1,1,6,69,0,1,2,1,2,4,0,0,2,67,2
25,96,1,0,1,9,55,2,1,1,2,1,4,0,0,1,71,2
6,95,2,1,1,7,96,1,1,0,1,1,2,0,0,1,68,4
14,82,2,1,1,7,52,2,1,0,1,0,2,0,0,2,66,3
24,73,0,1,1,9,71,2,1,0,1,1,3,0,0,1,64,0
32,72,2,1,1,8,93,0,1,0,1,1,4,0,2,2,71,1
20,61,0,0,1,6,63,1,1,1,2,2,4,0,1,0,61,1
16,93,1,2,0,10,55,1,0,0,1,1,2,0,1,2,67,2
19,78,1,0,1,5,56,0,1,2,1,1,4,0,1,1,65,3
28,73,2,1,1,7,70,0,0,0,1,0,6,0,1,1,66,0
16,79,2,2,1,6,71,1,1,0,2,1,4,0,0,2,68,2
15,93,1,1,0,5,86,1,1,0,1,1,2,0,1,0,66,0
17,65,1,1,0,5,62,1,1,1,1,2,4,0,0,2,63,2
14,94,0,0,1,7,85,0,1,2,1,1,3,0,0,1,66,1
21,96,1,2,0,8,100,1,1,2,1,2,2,0,1,2,73,1
30,98,1,0,1,9,93,1,1,0,0,2,3,0,0,2,88,1
22,76,1,1,0,9,82,2,1,1,2,1,4,0,0,2,67,0
18,69,2,2,1,7,97,1,1,1,1,2,2,0,1,2,69,2
18,75,1,0,1,6,100,2,1,0,1,2,3,0,0,2,67,2
11,73,1,2,1,9,79,1,1,0,2,1,2,0,0,2,64,1
25,67,1,2,1,6,64,1,0,0,1,1,2,0,0,1,64,0
20,84,0,1,0,5,96,0,1,0,1,0,2,0,0,2,65,1
19,79,1,1,0,8,92,2,1,1,2,2,2,0,0,2,68,1
39,95,1,2,1,9,54,2,1,1,1,2,3,0,0,1,77,2
22,61,1,1,1,6,97,2,1,0,2,0,2,1,0,2,63,0
15,86,2,2,1,10,68,1,1,2,1,1,5,0,1,2,69,0
17,91,1,1,1,8,66,1,1,1,0,2,2,0,1,2,69,3
27,90,1,0,0,8,67,1,1,1,1,0,3,0,2,2,70,2
21,95,2,1,1,6,66,2,1,1,2,2,4,0,1,2,73,1
11,89,1,0,1,9,76,1,1,1,2,1,3,0,2,0,66,1
26,97,1,0,0,5,79,2,1,0,0,2,3,0,0,2,71,2
16,73,1,0,1,6,71,1,1,2,2,2,5,0,1,2,66,2
31,80,1,1,1,6,71,2,1,0,2,1,3,0,0,2,71,2
26,61,1,0,1,5,87,1,1,2,2,2,2,1,0,2,66,3
17,60,1,2,1,8,50,2,1,0,2,2,4,0,0,2,63,0
28,70,2,2,1,8,97,1,1,0,0,0,5,1,0,2,70,5
20,64,2,1,1,8,86,1,1,1,1,1,2,0,2,2,66,1
25,70,1,1,0,7,85,1,1,1,1,0,4,0,0,2,66,1
23,67,1,1,0,8,71,2,1,1,1,1,4,0,1,1,66,2
15,61,1,1,0,7,98,1,1,1,1,1,3,0,0,2,62,1
16,96,1,1,0,6,50,2,1,1,2,2,3,0,1,2,69,1
26,60,0,2,1,6,54,0,1,0,1,2,1,0,2,1,63,1
18,89,1,0,1,4,90,0,1,2,1,2,2,1,2,2,68,1
18,66,1,2,0,9,87,1,1,1,0,2,3,0,0,1,64,1
14,96,0,2,1,9,64,2,1,0,2,1,3,0,2,1,69,2
23,96,0,1,1,10,80,0,1,0,2,2,3,0,0,2,71,3
32,86,1,1,1,6,77,1,0,1,0,0,4,0,0,2,71,2
14,87,1,1,0,6,76,1,1,0,1,2,4,0,1,0,66,1
20,60,1,1,1,4,80,0,1,2,1,2,3,1,1,1,63,2
28,99,0,1,1,8,100,0,1,1,1,2,2,0,0,0,72,0
20,95,1,1,1,8,99,0,0,0,1,1,3,0,1,2,70,1
23,96,1,0,0,9,99,1,1,2,1,1,2,0,1,2,71,0
14,86,0,0,1,6,77,1,1,2,1,1,3,0,0,0,65,3
23,74,1,0,1,8,66,0,1,2,1,0,4,0,2,2,65,0
19,96,0,1,0,6,78,2,1,0,0,2,2,0,0,0,67,1
26,72,2,1,0,9,81,2,1,1,2,1,3,0,0,2,68,0
27,83,1,1,1,8,66,1,1,1,1,2,4,0,1,0,70,3
36,64,1,1,1,5,82,1,1,1,2,2,2,0,0,2,70,2
23,97,0,2,1,7,81,0,1,1,2,1,3,0,0,2,72,2
22,66,1,2,0,4,95,1,1,0,0,1,5,0,1,1,65,1
21,69,1,1,1,5,62,2,1,0,1,2,3,0,0,2,65,2
18,82,2,1,1,5,85,2,1,1,2,1,4,0,2,2,71,3
22,91,2,2,1,6,73,0,1,2,1,2,4,0,2,2,74,3
